486 , 563
731 , 848
1018 , 1121
1316 , 1393
1566 , 1648
1866 , 1968
2208 , 2338
2736 , 2826
3078 , 3293
3630 , 3745
4045 , 4158
4428 , 4546
4806 , 4923
5138 , 5290
5476 , 5626
5941 , 6095
6465 , 6551
6856 , 6975
7333 , 7410
7778 , 7828
8155 , 8220
8616 , 8680
8996 , 9130
9380 , 9536
9896 , 9990
10211 , 10395
10731 , 10798
11128 , 11245
11528 , 11628
11911 , 11995
12398 , 12448
12771 , 12838
13146 , 13280
13596 , 13696
13896 , 14096
14330 , 14518
14751 , 14885
15191 , 15291
15593 , 15760
15993 , 16121
