263 , 316
786 , 901
1148 , 1266
1601 , 1790
2203 , 2243
2555 , 2565
2833 , 2945
3203 , 3283
3596 , 3658
3915 , 3965
4265 , 4308
4596 , 4650
4930 , 5041
5326 , 5390
5626 , 5683
6020 , 6066
6358 , 6456
6735 , 6823
7085 , 7125
7423 , 7488
7760 , 7825
8078 , 8145
8338 , 8381
8625 , 8701
9025 , 9073
9248 , 9311
9531 , 9575
9735 , 9790
10108 , 10170
10405 , 10473
10728 , 10838
11025 , 11091
11441 , 11491
11803 , 11843
12013 , 12081
12358 , 12425
12751 , 12803
12965 , 13060
13328 , 13368
13575 , 13640
