350 , 396
675 , 731
1035 , 1091
1525 , 1550
1961 , 1993
2353 , 2388
2618 , 2665
2925 , 2953
3250 , 3283
3525 , 3561
3845 , 3871
4201 , 4238
4655 , 4686
5125 , 5153
5588 , 5626
5951 , 5993
6405 , 6433
6856 , 6888
7326 , 7351
7568 , 7595
7903 , 7936
8335 , 8363
8785 , 8816
9130 , 9155
9491 , 9525
9830 , 9901
10201 , 10241
10480 , 10520
10755 , 10793
11070 , 11108
11420 , 11461
11858 , 11893
12180 , 12221
12545 , 12591
12935 , 12965
13420 , 13458
13795 , 13823
14126 , 14153
14536 , 14565
15003 , 15031
15380 , 15405
