501 , 560
818 , 898
1215 , 1316
1675 , 1776
2178 , 2243
2630 , 2693
2991 , 3111
3535 , 3601
4001 , 4070
4475 , 4528
4940 , 5023
5411 , 5476
5841 , 5901
6251 , 6325
6743 , 6868
7263 , 7320
7750 , 7816
8133 , 8200
8650 , 8701
9083 , 9136
9513 , 9588
9926 , 9973
10363 , 10441
10778 , 10843
11166 , 11243
11561 , 11611
11931 , 12018
12418 , 12466
12775 , 12831
13260 , 13306
13643 , 13710
14153 , 14208
14566 , 14618
14918 , 14971
15415 , 15455
15721 , 15778
16056 , 16118
16358 , 16421
16783 , 16860
17130 , 17235
