375 , 416
620 , 656
775 , 825
1165 , 1278
1816 , 1856
2213 , 2253
2453 , 2498
2831 , 2913
3413 , 3458
3810 , 3860
4226 , 4265
4803 , 4890
5548 , 5580
6186 , 6225
6680 , 6715
7213 , 7266
7786 , 7833
8433 , 8468
8858 , 8890
9595 , 9640
10100 , 10140
10600 , 10633
11060 , 11086
11841 , 11950
12513 , 12550
13020 , 13053
13530 , 13573
14075 , 14156
14685 , 14735
15336 , 15381
15741 , 15798
16478 , 16518
17066 , 17101
17576 , 17656
18083 , 18128
18736 , 18840
20191 , 20228
20670 , 20728
21386 , 21428
21931 , 21990
